N,Bias_a,Bias_v,Bias_t,SE_a,SE_v,SE_t
10,0.132273,-1.199933,-0.063560,0.017496,1.439839,0.004040
10,-0.257482,2.561914,0.075943,0.066297,6.563405,0.005767
10,0.947493,-0.496560,-0.636843,0.897743,0.246572,0.405570
10,0.206032,-0.175269,-0.313668,0.042449,0.030719,0.098388
10,0.554319,-0.679224,-0.302197,0.307269,0.461345,0.091323
10,-0.148155,0.836014,0.127196,0.021950,0.698919,0.016179
10,-0.392644,0.776059,0.423677,0.154169,0.602267,0.179502
10,5.660375,-0.527223,-12.748976,32.039844,0.277964,162.536389
10,0.071500,0.242117,-0.186573,0.005112,0.058620,0.034810
10,0.856121,-0.869439,-1.043264,0.732944,0.755925,1.088399
10,-0.437959,0.591699,0.024096,0.191808,0.350108,0.000581
10,-0.275000,0.647891,0.066073,0.075625,0.419763,0.004366
10,1.895340,-0.824174,-2.805918,3.592314,0.679263,7.873174
10,0.180263,0.825385,0.042115,0.032495,0.681261,0.001774
10,0.432239,-1.113845,-0.233855,0.186831,1.240651,0.054688
10,-0.564540,2.773012,0.179251,0.318705,7.689593,0.032131
10,-0.183415,-0.178003,-0.000758,0.033641,0.031685,0.000001
10,-0.776290,2.768580,0.132612,0.602626,7.665035,0.017586
10,-0.702922,3.483005,0.279914,0.494099,12.131322,0.078352
10,-0.632831,2.808093,0.236211,0.400475,7.885385,0.055795
10,-0.360184,3.724632,0.112580,0.129732,13.872880,0.012674
10,-0.144449,-0.441441,0.050190,0.020865,0.194870,0.002519
10,0.155452,-1.898383,-0.035069,0.024165,3.603859,0.001230
10,-0.075074,0.475255,-0.002214,0.005636,0.225867,0.000005
10,-0.300662,0.383521,0.079466,0.090398,0.147089,0.006315
10,1.531367,-0.858110,-1.392936,2.345086,0.736353,1.940270
10,1.057821,-0.316005,-1.046418,1.118985,0.099859,1.094991
10,-0.074470,-0.115037,0.000793,0.005546,0.013234,0.000001
10,0.493831,-0.674900,-0.246905,0.243869,0.455490,0.060962
10,1.842349,-0.177676,-1.963382,3.394251,0.031569,3.854870
10,-0.330326,2.004710,0.145632,0.109115,4.018860,0.021209
10,1.954302,-0.726803,-2.076753,3.819295,0.528243,4.312901
